"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Analysis","Simulated_RR"
"1","Exp_Diff",-0.0125877852705194,0.00310319874295106,-4.05639029698393,4.98369538678324e-05,-0.0186853970881975,-0.00651767023690663,"CCO_Month",0.9
"2","Exp_Diff",-0.0168514674984843,0.00314386985490217,-5.36010340002091,8.31743321650017e-08,-0.0230348824408571,-0.0107075944209672,"CCO_28day",0.9
"3","Exp_Diff",-0.0151868494090047,0.00356536520221427,-4.25954945641275,2.04839373740056e-05,-0.0221982911191474,-0.00821733013662645,"CCO_2week",0.9
"4","Exp_Diff",-0.0100863996620861,0.00297464099978678,-3.39079561628078,0.000696900512436488,-0.0159293895098733,-0.0042657446887236,"CCO_Month",0.9
"5","Exp_Diff",-0.012941978567492,0.00307419496119102,-4.20987566854836,2.55511259140213e-05,-0.0189844238852237,-0.00693011466705275,"CCO_28day",0.9
"6","Exp_Diff",-0.0140134798736795,0.00350462391239923,-3.99856881193451,6.37266545715441e-05,-0.0209030422894728,-0.00716056460487558,"CCO_2week",0.9
"7","Exp_Diff",-0.0161279190651548,0.00305950961617791,-5.27140656132422,1.35382205868981e-07,-0.022143758137891,-0.010147174500019,"CCO_Month",0.9
"8","Exp_Diff",-0.01769713461074,0.00308968710008093,-5.72780803929191,1.01736591986749e-08,-0.023775097737229,-0.0116602930391394,"CCO_28day",0.9
"9","Exp_Diff",-0.0169021457392954,0.003614466126252,-4.6762495895409,2.92168979038106e-06,-0.0240117175391985,-0.00983824264404673,"CCO_2week",0.9
"10","Exp_Diff",-0.0111954110759303,0.00307042422262192,-3.64620986033332,0.000266136655549373,-0.0172278857358906,-0.00518854803119604,"CCO_Month",0.9
"11","Exp_Diff",-0.0124331538886302,0.00311703431112599,-3.98877671774453,6.64148978392386e-05,-0.0185585814150507,-0.00633640887577762,"CCO_28day",0.9
"12","Exp_Diff",-0.0116487197329448,0.00354791915214505,-3.28325399576876,0.00102616163238324,-0.0186206891257716,-0.0047083428290185,"CCO_2week",0.9
"13","Exp_Diff",-0.0090241550590735,0.00305117625092927,-2.95759874780262,0.00310045423876853,-0.0150166177606468,-0.00305272352568221,"CCO_Month",0.9
"14","Exp_Diff",-0.0109758223763273,0.00304063197881104,-3.609717470846,0.000306530692894601,-0.0169505007606091,-0.00502776508145175,"CCO_28day",0.9
"15","Exp_Diff",-0.00552976490974683,0.00359521670440167,-1.53808945729938,0.124026743395768,-0.0125857242919734,0.00151184285783716,"CCO_2week",0.9
"16","Exp_Diff",-0.006516005176667,0.00308376307465975,-2.11300447502308,0.0346003848614609,-0.0125691140767181,-0.000477573391386894,"CCO_Month",0.9
"17","Exp_Diff",-0.00624166717243327,0.00311598605742784,-2.00311139311888,0.0451653333755266,-0.0123584228035653,-0.000140226762861828,"CCO_28day",0.9
"18","Exp_Diff",-0.00816075894138658,0.00367770672131557,-2.21898034829362,0.026488061514878,-0.0153826733741177,-0.000961354198375249,"CCO_2week",0.9
