"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Analysis","Simulated_RR"
"1","Exp_Diff",-0.0131411115548649,0.00260875381752404,-5.03731378046899,4.72110497269678e-07,-0.0182659934892362,-0.00803768600979985,"CCO_Month",0.9
"2","Exp_Diff",-0.0133493769582988,0.00278955909953966,-4.78547916783758,1.7057987947246e-06,-0.0188292905637575,-0.00789203565969065,"CCO_28day",0.9
"3","Exp_Diff",-0.00997262085480306,0.0031044437243006,-3.21236966762855,0.00131644864371003,-0.0160659692556078,-0.00389443478704786,"CCO_2week",0.9
"4","Exp_Diff",-0.00979379530545981,0.0025839790654914,-3.79019916850499,0.000150526538928993,-0.0148670266584041,-0.00473599589441219,"CCO_Month",0.9
"5","Exp_Diff",-0.00985324172398097,0.002754382033576,-3.57729668719504,0.000347166056972929,-0.0152616780000415,-0.00446229317999089,"CCO_28day",0.9
"6","Exp_Diff",-0.0111485749127206,0.0030744382558826,-3.62621525782442,0.000287605632911696,-0.0171838001560232,-0.00512994423876345,"CCO_2week",0.9
"7","Exp_Diff",-0.0110517921528776,0.00260645141981476,-4.24016809554159,2.23352463790528e-05,-0.0161709560387027,-0.00595161915134184,"CCO_Month",0.9
"8","Exp_Diff",-0.0113893186125872,0.00276780230370442,-4.11493212406961,3.87293364492525e-05,-0.016825478912166,-0.00597344551617292,"CCO_28day",0.9
"9","Exp_Diff",-0.0156931423823767,0.00315509166768552,-4.97391012220215,6.56157398846537e-07,-0.0218901617725857,-0.00951995436177829,"CCO_2week",0.9
"10","Exp_Diff",-0.0128236261564209,0.00261816968086411,-4.89793547383396,9.68488252703796e-07,-0.0179675413943254,-0.00770217952586407,"CCO_Month",0.9
"11","Exp_Diff",-0.0098855611527199,0.00269526325624689,-3.66775346705293,0.000244690940685596,-0.0151783143140992,-0.00461067950651068,"CCO_28day",0.9
"12","Exp_Diff",-0.0107522795586325,0.00312503087002141,-3.44069547017271,0.000580221166870234,-0.0168862486961659,-0.0046340775809197,"CCO_2week",0.9
"13","Exp_Diff",-0.00868083230540358,0.00258421599173146,-3.35917443943503,0.000781757033371827,-0.0137537411730499,-0.00362176956623129,"CCO_Month",0.9
"14","Exp_Diff",-0.0120435518998241,0.00275328091589309,-4.37425466842256,1.21848067094108e-05,-0.0174514263718563,-0.00665639828862135,"CCO_28day",0.9
"15","Exp_Diff",-0.00812063548872431,0.00311057484757271,-2.61065426381272,0.00903692037952198,-0.014224428903584,-0.00202891925125478,"CCO_2week",0.9
"16","Exp_Diff",-0.01065699797537,0.00263188252215584,-4.04919212223826,5.13947411716134e-05,-0.0158253196240822,-0.00550636083787345,"CCO_Month",0.9
"17","Exp_Diff",-0.00703602097821136,0.00281290480027183,-2.50133633300758,0.0123725615398357,-0.0125572109630963,-0.00152821007137871,"CCO_28day",0.9
"18","Exp_Diff",-0.00577435425750822,0.00314923221479729,-1.8335752537956,0.0667170683600746,-0.0119522752126065,0.000394830669667427,"CCO_2week",0.9
"19","Exp_Diff",-0.00824836377914037,0.00262513966644352,-3.14206664299697,0.00167759847074116,-0.0134021595739483,-0.00310947112793065,"CCO_Month",0.9
"20","Exp_Diff",-0.0108985192793689,0.00280502486166894,-3.88535568019333,0.000102180179505419,-0.0164078443852963,-0.00540973836782002,"CCO_28day",0.9
"21","Exp_Diff",-0.0102646981029508,0.00311349545223229,-3.29684056406485,0.000977789899303611,-0.0163761071195625,-0.0041690567383336,"CCO_2week",0.9
"22","Exp_Diff",-0.00858342343476518,0.00261390895079136,-3.28374996847788,0.00102435757718731,-0.0137152762526664,-0.0034666782624322,"CCO_Month",0.9
"23","Exp_Diff",-0.00932738002899055,0.00275980944742188,-3.37971885620722,0.00072560011711224,-0.0147458112562007,-0.00392519358544378,"CCO_28day",0.9
"24","Exp_Diff",-0.00833907259354165,0.00310934728116394,-2.68193670229722,0.00731973081226007,-0.0144407922239897,-0.00225004147559721,"CCO_2week",0.9
"25","Exp_Diff",-0.0102949987278789,0.00266103347962482,-3.86879714468319,0.000109373588420888,-0.015520328140932,-0.00508704377312996,"CCO_Month",0.9
"26","Exp_Diff",-0.00533566239654605,0.0028034802759894,-1.90322808483573,0.0570107900072948,-0.0108362408670581,0.000155598377234635,"CCO_28day",0.9
"27","Exp_Diff",-0.00663544766548175,0.0031904971583594,-2.07975351054498,0.0375481472097084,-0.0128950853684159,-0.000386126279733749,"CCO_2week",0.9
"28","Exp_Diff",-0.0107367141462881,0.00258275769340035,-4.15707372539182,3.22349987795172e-05,-0.0158094777166984,-0.00568297620218251,"CCO_Month",0.9
"29","Exp_Diff",-0.0130435420926026,0.00273735861198901,-4.76501034079892,1.88843964390219e-06,-0.0184216397385018,-0.00768890968295561,"CCO_28day",0.9
"30","Exp_Diff",-0.0123603846081425,0.00309026597461443,-3.99978018386739,6.34013456248968e-05,-0.018427712755759,-0.0063117480355097,"CCO_2week",0.9
"31","Exp_Diff",-0.00679954570317354,0.00212483003796364,-3.20004215946136,0.00137407486564243,-0.0109684991657898,-0.00263815630005492,"CCO_Month",0.95
"32","Exp_Diff",-0.00585878931741452,0.00225305340256509,-2.60037747473908,0.00931212662253742,-0.01027870201374,-0.00144562260148227,"CCO_28day",0.95
"33","Exp_Diff",-0.00519167725158663,0.00257305180196088,-2.01771190445142,0.0436212742930663,-0.0102379893417767,-0.000150548478937377,"CCO_2week",0.95
"34","Exp_Diff",-0.00506940314589659,0.00211061795348835,-2.40185730322158,0.0163120701590424,-0.00920972823839262,-0.000935040256983326,"CCO_Month",0.95
"35","Exp_Diff",-0.00220260848480128,0.00225965315797494,-0.97475511984114,0.329681744190871,-0.0066334077890334,0.00222558355953031,"CCO_28day",0.95
"36","Exp_Diff",-0.0048729781362718,0.00254427104716707,-1.91527476669502,0.0554574718388996,-0.00986272920998628,0.000111884783972107,"CCO_2week",0.95
"37","Exp_Diff",-0.00474485998760379,0.00207511967383838,-2.28654763743199,0.0222222405618792,-0.00881511678911968,-0.000679702766830543,"CCO_Month",0.95
"38","Exp_Diff",-0.00424143990008522,0.00220733392609323,-1.92152163745889,0.0546659771935817,-0.00857086045806983,8.3000334307371e-05,"CCO_28day",0.95
"39","Exp_Diff",-0.00521630518042197,0.00247935303777373,-2.10389771079386,0.035387370725375,-0.0100788192026714,-0.000358770065228042,"CCO_2week",0.95
"40","Exp_Diff",-0.00700926239002759,0.00206870713409589,-3.38823329532865,0.000703444038295077,-0.0110680649448866,-0.00295781381310584,"CCO_Month",0.95
"41","Exp_Diff",-0.00854085385635063,0.002205943100786,-3.87174712407924,0.000108058026377207,-0.0128699177566657,-0.00422153824995397,"CCO_28day",0.95
"42","Exp_Diff",-0.0109637189273512,0.0024868308598776,-4.40871114487086,1.03987608406512e-05,-0.0158437073081573,-0.00609430664627337,"CCO_2week",0.95
"43","Exp_Diff",-0.00647861183310663,0.00214003551729234,-3.02733846272964,0.00246717539867184,-0.0106773213980787,-0.00228733129141615,"CCO_Month",0.95
"44","Exp_Diff",-0.00382876235356199,0.00226038226835728,-1.69385612653231,0.0902926256671997,-0.00826182211302689,0.000599967881492715,"CCO_28day",0.95
"45","Exp_Diff",-0.00379197170316977,0.00255107292480846,-1.48642230737268,0.137167452987718,-0.00879450296513527,0.00120677159881682,"CCO_2week",0.95
"46","Exp_Diff",-0.00629234613967788,0.00208236108598419,-3.02173632710962,0.00251329367126284,-0.0103778135264835,-0.00221395770054591,"CCO_Month",0.95
"47","Exp_Diff",-0.00527207541055828,0.00221811571136013,-2.37682614281898,0.0174623164725757,-0.0096234264470361,-0.000927231397945125,"CCO_28day",0.95
"48","Exp_Diff",-0.00423811682481084,0.00250849795422253,-1.6895037995454,0.0911229243449087,-0.00915735142804154,0.000676982833072567,"CCO_2week",0.95
"49","Exp_Diff",-0.00368749738732052,0.00211834088042497,-1.74074787556417,0.0817277823053967,-0.00784210124738391,0.000462843848860586,"CCO_Month",0.95
"50","Exp_Diff",-0.00617036870855127,0.00224658604486162,-2.7465534750668,0.00602250671564618,-0.0105780605935325,-0.00177025311612729,"CCO_28day",0.95
"51","Exp_Diff",-0.00519306120020612,0.00255559327313118,-2.0320374352228,0.0421498663080193,-0.010205203662231,-0.00018618722164644,"CCO_2week",0.95
"52","Exp_Diff",-0.00365426753120492,0.00208542119863415,-1.75229231082828,0.079723557529641,-0.00774420085217074,0.000431630103657591,"CCO_Month",0.95
"53","Exp_Diff",-0.000873331077125912,0.00218760507293382,-0.399217888059967,0.689732663785987,-0.00516213804093921,0.00341441834445854,"CCO_28day",0.95
"54","Exp_Diff",-0.00604929012897942,0.00251863885037668,-2.40180926617355,0.016314212243994,-0.0109892594926325,-0.00111517681406127,"CCO_2week",0.95
"55","Exp_Diff",-0.00598129885731746,0.00213467968834745,-2.80196550797176,0.00507923037918186,-0.0101689966344686,-0.00180007223225864,"CCO_Month",0.95
"56","Exp_Diff",-0.00470330890823332,0.00227421227735603,-2.06810461585465,0.0386301867588859,-0.00916392355566323,-0.000247932539257649,"CCO_28day",0.95
"57","Exp_Diff",-0.00457818054524959,0.00254666169411755,-1.79771838396304,0.0722216466144091,-0.00957243538871235,0.000411536012541336,"CCO_2week",0.95
"58","Exp_Diff",-0.00255252517140571,0.00211659346451155,-1.20595911033617,0.227833257011889,-0.00670293690219758,0.00159509416104648,"CCO_Month",0.95
"59","Exp_Diff",-0.0028820418343547,0.00223739413021279,-1.2881243386835,0.197702684259932,-0.00726945375598316,0.00150218444668038,"CCO_28day",0.95
"60","Exp_Diff",-0.00325796934587256,0.00253050331455043,-1.28747879014392,0.197927457625057,-0.00821988489312163,0.00170073253869221,"CCO_2week",0.95
"61","Exp_Diff",0.00511725231766473,0.00139822928288664,3.6598091459651,0.000252403169363875,0.00237787403443705,0.0078591741480294,"CCO_Month",1.05
"62","Exp_Diff",0.00572340022718331,0.00148441563634881,3.85565881080387,0.000115418372406275,0.00281525775911148,0.00863442866119314,"CCO_28day",1.05
"63","Exp_Diff",0.00843554418290435,0.0016803886350914,5.01999597399416,5.16725625106964e-07,0.00514370779651046,0.011731078075249,"CCO_2week",1.05
"64","Exp_Diff",0.00654433911354122,0.0014003354441075,4.67340817593332,2.96242184465114e-06,0.00380113995179399,0.00929068774713144,"CCO_Month",1.05
"65","Exp_Diff",0.0057468619207112,0.00148883834045028,3.85996368079367,0.000113403878945599,0.00283013636122565,0.00866666791531901,"CCO_28day",1.05
"66","Exp_Diff",0.00625575684427001,0.00169200454112569,3.69724589516057,0.00021795120476173,0.00294066456599741,0.00957356276934431,"CCO_2week",1.05
"67","Exp_Diff",0.00299436716597442,0.00141024272937976,2.12329913396636,0.0337287932311079,0.000230911347647342,0.00575930375807938,"CCO_Month",1.05
"68","Exp_Diff",0.00504868530775114,0.00150080587654254,3.36398290189399,0.000768263026549517,0.0021083174618684,0.00799176430608693,"CCO_28day",1.05
