"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Analysis","Simulated_RR"
"1","x",-0.0142946318633519,0.00246231667255528,-5.8053588405904,6.42282969058893e-09,-0.0191206838600928,-0.00946857986661108,"CCO_Month",0.9
"2","x",-0.014001357041432,0.00251172212738674,-5.57440526114223,2.48376926556205e-08,-0.0189242419502823,-0.00907847213258165,"CCO_28day",0.9
"3","x",-0.0151868496811417,0.00356543190750698,-4.25946984127392,2.04912343277638e-05,-0.0221749678091853,-0.00819873155309809,"CCO_2week",0.9
"4","x",-0.0107079329127628,0.00243764767413621,-4.39273198763525,1.11935084893073e-05,-0.0154856345610676,-0.00593023126445801,"CCO_Month",0.9
"5","x",-0.010917149672738,0.00250488721095681,-4.35833981864912,1.31052787725676e-05,-0.0158266383915484,-0.0060076609539277,"CCO_28day",0.9
"6","x",-0.0140134800240718,0.00350467027529016,-3.99851595822709,6.37408841271917e-05,-0.0208825075413286,-0.00714445250681505,"CCO_2week",0.9
"7","x",-0.014666021626896,0.00245707825188774,-5.9688866708369,2.38877955680773e-09,-0.0194818065077926,-0.00985023674599936,"CCO_Month",0.9
"8","x",-0.0158658027487008,0.00249928998919737,-6.34812399412523,2.17956385893325e-10,-0.0207643211144492,-0.0109672843829525,"CCO_28day",0.9
"9","x",-0.0169021462209646,0.00361455874810883,-4.67612989547008,2.92339472670359e-06,-0.0239865511872621,-0.0098177412546671,"CCO_2week",0.9
"10","x",-0.011499906549553,0.00245292940095744,-4.68823380936457,2.75573066667727e-06,-0.016307559832049,-0.00669225326705705,"CCO_Month",0.9
"11","x",-0.0109605142910857,0.00249453734215369,-4.39380646096993,1.11382985240308e-05,-0.0158497176397972,-0.00607131094237416,"CCO_28day",0.9
"12","x",-0.0116487197775602,0.0035479426000372,-3.28323230974426,0.00102624058036267,-0.0186025594928485,-0.00469488006227189,"CCO_2week",0.9
"13","x",-0.00758206046521817,0.0024717765984844,-3.06745377792928,0.00215890846417615,-0.0124266535760765,-0.00273746735435982,"CCO_Month",0.9
"14","x",-0.00983802093675573,0.00251741225939991,-3.90798960322092,9.30673101556552e-05,-0.0147720582994192,-0.00490398357409231,"CCO_28day",0.9
"15","x",-0.00552976490149179,0.00359521779407186,-1.5380889888256,0.124026857924936,-0.0125762622944502,0.00151673249146659,"CCO_2week",0.9
"16","x",-0.00552195878614043,0.00245167624732294,-2.25231973111051,0.0243020741491083,-0.0103271559326457,-0.000716761639635153,"CCO_Month",0.9
"17","x",-0.00317017790916459,0.00252121682817302,-1.25739994820749,0.208608847985512,-0.00811167208960001,0.00177131627127082,"CCO_28day",0.9
"18","x",-0.00816075894469042,0.00367771210800461,-2.21897709908516,0.0264882825766235,-0.0153689422218863,-0.000952575667494506,"CCO_2week",0.9
"19","x",-0.00934124104013541,0.00241546342427683,-3.86726660658591,0.000110062081071587,-0.0140754623576918,-0.00460701972257904,"CCO_Month",0.9
"20","x",-0.0100784080293162,0.00246382300965479,-4.09055682564158,4.30338751923625e-05,-0.0149074123925207,-0.00524940366611171,"CCO_28day",0.9
"21","x",-0.00542508040926676,0.0034409317101945,-1.57663123426536,0.114880401511351,-0.0121691826345098,0.00131902181597628,"CCO_2week",0.9
"22","x",-0.00979951807829776,0.0024384424864017,-4.01876121046368,5.85049256555094e-05,-0.0145787775300174,-0.00502025862657813,"CCO_Month",0.9
"23","x",-0.00939680386682338,0.00248339693067671,-3.78385096266621,0.000154420313963552,-0.014264172410267,-0.00452943532337971,"CCO_28day",0.9
"24","x",-0.00502990110952698,0.0035137086824734,-1.43150772134766,0.152284755645067,-0.0119166435793405,0.00185684136028657,"CCO_2week",0.9
"25","x",-0.0166657709083082,0.00250929612733884,-6.64161185550573,3.10271152762712e-11,-0.0215839009444382,-0.0117476408721783,"CCO_Month",0.9
"26","x",-0.0149276050534949,0.00254957782813382,-5.85493209455045,4.7720495603083e-09,-0.0199246857724191,-0.0099305243345708,"CCO_28day",0.9
"27","x",-0.015755888346139,0.00367174742998138,-4.29111442074841,1.77778676870982e-05,-0.02295238106923,-0.008559395623048,"CCO_2week",0.9
"28","x",-0.0109914237955496,0.00243144501113321,-4.52053151324482,6.16845614594315e-06,-0.0157569684477602,-0.00622587914333889,"CCO_Month",0.9
"29","x",-0.01002690333852,0.00249243649930124,-4.02293231596114,5.74780183362711e-05,-0.0149119891109035,-0.0051418175661365,"CCO_28day",0.9
"30","x",-0.0101576904793244,0.00351591954824599,-2.88905657252362,0.00386399550964182,-0.0170487661664268,-0.00326661479222187,"CCO_2week",0.9
"31","x",-0.00630952906605567,0.00196770497804992,-3.20654220853203,0.00134340595226407,-0.0101661599552337,-0.00245289817687764,"CCO_Month",0.95
"32","x",-0.00642691335220845,0.00201621633140628,-3.18761099793582,0.00143453386299685,-0.0103786247468062,-0.00247520195761068,"CCO_28day",0.95
"33","x",-0.0105507799720008,0.00281273682271356,-3.7510725805559,0.000176079715098997,-0.016063642842509,-0.00503791710149257,"CCO_2week",0.95
"34","x",-0.00512597314821522,0.00197507378276898,-2.59533248475851,0.00944994551404454,-0.00899704662925171,-0.00125489966717872,"CCO_Month",0.95
"35","x",-0.00399858361325186,0.00202489277774804,-1.97471375136161,0.0483006414947087,-0.00796730053019328,-2.98666963104407e-05,"CCO_28day",0.95
